date,fng_value,fng_classification
12/31/2021,28,Fear
12/30/2021,22,Extreme Fear
12/29/2021,27,Fear
12/28/2021,41,Fear
12/27/2021,40,Fear
12/26/2021,37,Fear
12/25/2021,39,Fear
12/24/2021,41,Fear
12/23/2021,34,Fear
12/22/2021,45,Fear
12/21/2021,27,Fear
12/20/2021,25,Extreme Fear
12/19/2021,29,Fear
12/18/2021,24,Extreme Fear
12/17/2021,23,Extreme Fear
12/16/2021,29,Fear
12/15/2021,28,Fear
12/14/2021,21,Extreme Fear
12/13/2021,28,Fear
12/12/2021,27,Fear
12/11/2021,16,Extreme Fear
12/10/2021,24,Extreme Fear
12/9/2021,29,Fear
12/8/2021,28,Fear
12/7/2021,25,Extreme Fear
12/6/2021,16,Extreme Fear
12/5/2021,18,Extreme Fear
12/4/2021,25,Extreme Fear
12/3/2021,31,Fear
12/2/2021,32,Fear
12/1/2021,34,Fear
11/30/2021,40,Fear
11/29/2021,33,Fear
11/28/2021,27,Fear
11/27/2021,21,Extreme Fear
11/26/2021,47,Neutral
11/25/2021,32,Fear
11/24/2021,42,Fear
11/23/2021,33,Fear
11/22/2021,50,Neutral
11/21/2021,49,Neutral
11/20/2021,43,Fear
11/19/2021,34,Fear
11/18/2021,54,Neutral
11/17/2021,52,Neutral
11/16/2021,71,Greed
11/15/2021,72,Greed
11/14/2021,74,Greed
11/13/2021,72,Greed
11/12/2021,74,Greed
11/11/2021,77,Extreme Greed
11/10/2021,75,Greed
11/9/2021,84,Extreme Greed
11/8/2021,75,Greed
11/7/2021,73,Greed
11/6/2021,71,Greed
11/5/2021,73,Greed
11/4/2021,73,Greed
11/3/2021,76,Extreme Greed
11/2/2021,73,Greed
11/1/2021,74,Greed
10/31/2021,74,Greed
10/30/2021,73,Greed
10/29/2021,70,Greed
10/28/2021,66,Greed
10/27/2021,73,Greed
10/26/2021,76,Extreme Greed
10/25/2021,72,Greed
10/24/2021,73,Greed
10/23/2021,74,Greed
10/22/2021,75,Greed
10/21/2021,84,Extreme Greed
10/20/2021,82,Extreme Greed
10/19/2021,75,Greed
10/18/2021,78,Extreme Greed
10/17/2021,79,Extreme Greed
10/16/2021,78,Extreme Greed
10/15/2021,71,Greed
10/14/2021,70,Greed
10/13/2021,70,Greed
10/12/2021,78,Extreme Greed
10/11/2021,71,Greed
10/10/2021,71,Greed
10/9/2021,72,Greed
10/8/2021,74,Greed
10/7/2021,76,Extreme Greed
10/6/2021,68,Greed
10/5/2021,59,Greed
10/4/2021,54,Neutral
10/3/2021,49,Neutral
10/2/2021,54,Neutral
10/1/2021,27,Fear
9/30/2021,20,Extreme Fear
9/29/2021,24,Extreme Fear
9/28/2021,25,Extreme Fear
9/27/2021,26,Fear
9/26/2021,27,Fear
9/25/2021,28,Fear
9/24/2021,33,Fear
9/23/2021,27,Fear
9/22/2021,21,Extreme Fear
9/21/2021,27,Fear
9/20/2021,50,Neutral
9/19/2021,53,Neutral
9/18/2021,50,Neutral
9/17/2021,48,Neutral
9/16/2021,53,Neutral
9/15/2021,49,Neutral
9/14/2021,30,Fear
9/13/2021,44,Fear
9/12/2021,32,Fear
9/11/2021,31,Fear
9/10/2021,46,Fear
9/9/2021,45,Fear
9/8/2021,47,Neutral
9/7/2021,79,Extreme Greed
9/6/2021,79,Extreme Greed
9/5/2021,73,Greed
9/4/2021,72,Greed
9/3/2021,74,Greed
9/2/2021,74,Greed
9/1/2021,71,Greed
8/31/2021,73,Greed
8/30/2021,73,Greed
8/29/2021,72,Greed
8/28/2021,78,Extreme Greed
8/27/2021,71,Greed
8/26/2021,75,Greed
8/25/2021,73,Greed
8/24/2021,79,Extreme Greed
8/23/2021,79,Extreme Greed
8/22/2021,76,Extreme Greed
8/21/2021,78,Extreme Greed
8/20/2021,70,Greed
8/19/2021,70,Greed
8/18/2021,73,Greed
8/17/2021,72,Greed
8/16/2021,72,Greed
8/15/2021,71,Greed
8/14/2021,76,Extreme Greed
8/13/2021,70,Greed
8/12/2021,70,Greed
8/11/2021,70,Greed
8/10/2021,71,Greed
8/9/2021,65,Greed
8/8/2021,74,Greed
8/7/2021,69,Greed
8/6/2021,52,Neutral
8/5/2021,50,Neutral
8/4/2021,42,Fear
8/3/2021,48,Neutral
8/2/2021,48,Neutral
