,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2014-01-01T00:00:00.0000000Z,2014-01-02T00:00:00.0000000Z,2014-01-01T00:00:00.0000000Z,2014-01-01T23:59:57.0000000Z,732.0,757.99,729.01,754.9,7907.63786208,5124
1,2014-01-02T00:00:00.0000000Z,2014-01-03T00:00:00.0000000Z,2014-01-02T00:01:24.0000000Z,2014-01-02T23:59:24.0000000Z,750.76,798.7,742.5,784.19,15134.16900738,11397
2,2014-01-03T00:00:00.0000000Z,2014-01-04T00:00:00.0000000Z,2014-01-03T00:00:23.0000000Z,2014-01-03T23:59:45.0000000Z,784.19,818.99,767.62,809.4,14860.26282816,11847
3,2014-01-04T00:00:00.0000000Z,2014-01-05T00:00:00.0000000Z,2014-01-04T00:01:43.0000000Z,2014-01-04T23:59:19.0000000Z,808.24,830.0,790.2,828.79,10990.14294762,10861
4,2014-01-05T00:00:00.0000000Z,2014-01-06T00:00:00.0000000Z,2014-01-05T00:00:38.0000000Z,2014-01-05T23:59:26.0000000Z,828.79,948.0,826.07,905.0,24075.9495964,23876
5,2014-01-06T00:00:00.0000000Z,2014-01-07T00:00:00.0000000Z,2014-01-06T00:00:43.0000000Z,2014-01-06T23:59:10.0000000Z,905.0,995.0,876.0,919.24,25886.90639128,27700
6,2014-01-07T00:00:00.0000000Z,2014-01-08T00:00:00.0000000Z,2014-01-07T00:00:22.0000000Z,2014-01-07T23:59:56.0000000Z,915.8,943.0,785.0,785.0,34079.1435861,25400
7,2014-01-08T00:00:00.0000000Z,2014-01-09T00:00:00.0000000Z,2014-01-08T00:00:00.0000000Z,2014-01-08T23:58:57.0000000Z,785.0,899.84281,765.0,823.45,26334.94128503,19161
8,2014-01-09T00:00:00.0000000Z,2014-01-10T00:00:00.0000000Z,2014-01-09T00:00:05.0000000Z,2014-01-09T23:59:57.0000000Z,823.94,870.0,779.78,824.76,25310.4025361,17836
9,2014-01-10T00:00:00.0000000Z,2014-01-11T00:00:00.0000000Z,2014-01-10T00:00:14.0000000Z,2014-01-10T23:59:51.0000000Z,825.5,861.4,799.41,852.61,12854.18503052,13495
10,2014-01-11T00:00:00.0000000Z,2014-01-12T00:00:00.0000000Z,2014-01-11T00:00:45.0000000Z,2014-01-11T23:59:58.0000000Z,851.63,918.05471,849.51,896.39,16149.66479783,14470
11,2014-01-12T00:00:00.0000000Z,2014-01-13T00:00:00.0000000Z,2014-01-12T00:00:26.0000000Z,2014-01-12T23:59:52.0000000Z,895.0,905.0,826.46,844.05,12214.60491212,13536
12,2014-01-13T00:00:00.0000000Z,2014-01-14T00:00:00.0000000Z,2014-01-13T00:00:02.0000000Z,2014-01-13T23:59:05.0000000Z,844.04,859.99999,783.11,823.0,19392.26071978,16451
13,2014-01-14T00:00:00.0000000Z,2014-01-15T00:00:00.0000000Z,2014-01-14T00:00:16.0000000Z,2014-01-14T23:58:46.0000000Z,823.99,877.293,800.0,815.99,9761.20679548,11312
14,2014-01-15T00:00:00.0000000Z,2014-01-16T00:00:00.0000000Z,2014-01-15T00:00:22.0000000Z,2014-01-15T23:59:58.0000000Z,815.99,864.0,805.18,841.14,12274.48206096,10969
15,2014-01-16T00:00:00.0000000Z,2014-01-17T00:00:00.0000000Z,2014-01-16T00:00:00.0000000Z,2014-01-16T23:59:40.0000000Z,841.14,865.0,810.01,814.4,8244.05367719,11024
16,2014-01-17T00:00:00.0000000Z,2014-01-18T00:00:00.0000000Z,2014-01-17T00:00:32.0000000Z,2014-01-17T23:59:50.0000000Z,814.4,835.06427,765.0,797.2,17141.29757677,15209
17,2014-01-18T00:00:00.0000000Z,2014-01-19T00:00:00.0000000Z,2014-01-18T00:00:40.0000000Z,2014-01-18T23:58:44.0000000Z,797.2,844.14159,796.0,810.0,5505.60984812,6948
18,2014-01-19T00:00:00.0000000Z,2014-01-20T00:00:00.0000000Z,2014-01-19T00:00:35.0000000Z,2014-01-19T23:59:56.0000000Z,811.22,848.9,791.01,842.07,8429.94763705,7722
19,2014-01-20T00:00:00.0000000Z,2014-01-21T00:00:00.0000000Z,2014-01-20T00:00:13.0000000Z,2014-01-20T23:59:59.0000000Z,841.5,855.0,815.0,826.02,6972.60346334,10986
20,2014-01-21T00:00:00.0000000Z,2014-01-22T00:00:00.0000000Z,2014-01-21T00:00:07.0000000Z,2014-01-21T23:58:30.0000000Z,827.21,845.98999,814.0,824.89,7676.49474445,11097
21,2014-01-22T00:00:00.0000000Z,2014-01-23T00:00:00.0000000Z,2014-01-22T00:02:07.0000000Z,2014-01-22T23:58:29.0000000Z,824.88,834.53144,801.0,819.2,8310.80669142,7465
